axis,source,term_id,term_name,term_size_in_background,query_size,intersection_size,raw_hypergeom_p,bh_q_within_source,significant_q_lt_0_05,intersection_genes,themes
cluster_11,GO:BP,GO:0000381,RNA-binding protein 47,28,245,1,0.6849576042372705,1.0,False,RBM8A,rna_protein_processing
cluster_11,GO:BP,GO:0032733,RNA-binding protein 47,20,245,1,0.5615362841942778,1.0,False,HMGB1,rna_protein_processing
cluster_11,GO:BP,GO:0060340,RNA-binding protein 47,7,245,0,1.0,1.0,False,,rna_protein_processing
cluster_11,GO:BP,GO:0070935,RNA-binding protein 47,9,245,1,0.30972957456678235,1.0,False,HNRNPC,rna_protein_processing
cluster_11,GO:BP,GO:0000122,Transcription factor E2F8,374,245,12,0.834270767343211,1.0,False,APBB1;APP;CTCF;CUL2;DDIT3;GADD45A;HMGB1;ID2;KDM2B;RBBP7;SDCBP;TGIF2,
cluster_11,GO:BP,GO:0001890,Transcription factor E2F8,13,245,1,0.4146791292936395,1.0,False,PTK2,
cluster_11,GO:BP,GO:0002040,Transcription factor E2F8,14,245,0,1.0,1.0,False,,
cluster_11,GO:BP,GO:0006355,Transcription factor E2F8,443,245,13,0.9159498094815453,1.0,False,APBB1;CTCF;DDIT3;FOS;HBP1;KDM5B;MLLT10;NOTCH2;PBX3;RBBP7;SMARCC1;TGIF2;ZFP82,
cluster_11,GO:BP,GO:0006357,Transcription factor E2F8,475,245,20,0.454018718471098,1.0,False,ACTB;ADNP;APP;CAMK2D;CTCF;DDIT3;FOS;GTF2H2;HBP1;ID2;INSIG1;KDM2B;MLLT10;NCOA7;NRF1;PHF10;PPP2CA;SMARCC1;TRAK2;ZFP82,
cluster_11,GO:BP,GO:0045944,Transcription factor E2F8,478,245,21,0.37247316610725323,1.0,False,ACTR2;AKIRIN1;APBB1;APP;CTCF;DDIT3;FOS;HMGB1;HSPA5;LPIN1;MLLT10;NAMPT;NCOA7;NOTCH2;NRF1;PBX3;PIK3R1;PTMA;RNF10;WASL;YWHAB,
cluster_11,GO:BP,GO:0070365,Transcription factor E2F8,9,245,0,1.0,1.0,False,,
cluster_11,GO:BP,GO:0034498,Bridge-like lipid transfer protein family member 3B,5,245,0,1.0,1.0,False,,lipid_metabolism;rna_protein_processing
cluster_11,GO:BP,GO:0120009,Bridge-like lipid transfer protein family member 3B,18,245,2,0.16258567170254182,1.0,False,SCP2;VPS13D,lipid_metabolism;rna_protein_processing
cluster_11,GO:BP,GO:0007265,Shootin-1,32,245,2,0.3720857586980901,1.0,False,G3BP1;GRB2,
cluster_11,GO:BP,GO:0007409,Shootin-1,39,245,4,0.07047380235770014,1.0,False,ACTB;APBB1;APP;ULK2,
cluster_11,GO:BP,GO:0038007,Shootin-1,6,245,1,0.2189001020725035,1.0,False,PTK2,
cluster_11,GO:BP,GO:0045773,Shootin-1,17,245,1,0.5037271698792746,1.0,False,ADNP,
cluster_11,GO:BP,GO:0048812,Shootin-1,33,245,2,0.38665602186886644,1.0,False,RAC1;WNT7B,
cluster_11,GO:BP,GO:2000114,Shootin-1,7,245,0,1.0,1.0,False,,
cluster_11,GO:BP,GO:2001224,Shootin-1,9,245,0,1.0,1.0,False,,
